exp_id,algorithm,alpha,participation_rate,final_accuracy,rounds_to_80pct,per_client_acc_mean,per_client_acc_std,per_client_acc_min,round_results
fedavg_alpha0.05_part0.2,fedavg,0.05,0.2,0.5776000022888184,999,0.6805262863636017,0.1806639727294093,0.365524023771286,"[{""round"": 1, ""accuracy"": 0.27469998598098755, ""loss"": 4.882119655609131}, {""round"": 3, ""accuracy"": 0.26930001378059387, ""loss"": 4.406789302825928}, {""round"": 6, ""accuracy"": 0.27730000019073486, ""loss"": 7.440218925476074}, {""round"": 9, ""accuracy"": 0.23929999768733978, ""loss"": 2.1255805492401123}, {""round"": 12, ""accuracy"": 0.21289999783039093, ""loss"": 3.570695638656616}, {""round"": 15, ""accuracy"": 0.41670000553131104, ""loss"": 2.6590051651000977}, {""round"": 18, ""accuracy"": 0.34209999442100525, ""loss"": 4.969849109649658}, {""round"": 21, ""accuracy"": 0.451200008392334, ""loss"": 1.7904503345489502}, {""round"": 24, ""accuracy"": 0.5361999869346619, ""loss"": 1.5460681915283203}, {""round"": 27, ""accuracy"": 0.6220999956130981, ""loss"": 1.7171833515167236}, {""round"": 30, ""accuracy"": 0.5776000022888184, ""loss"": 1.4211714267730713}]"
fedavg_alpha0.05_part0.5,fedavg,0.05,0.5,0.8112999796867371,18,0.8667394757270813,0.12824208924067723,0.6728808283805847,"[{""round"": 1, ""accuracy"": 0.3749000132083893, ""loss"": 2.646353244781494}, {""round"": 3, ""accuracy"": 0.2784000039100647, ""loss"": 2.242638349533081}, {""round"": 6, ""accuracy"": 0.5289999842643738, ""loss"": 1.4769259691238403}, {""round"": 9, ""accuracy"": 0.6499000191688538, ""loss"": 0.9393854737281799}, {""round"": 12, ""accuracy"": 0.734000027179718, ""loss"": 0.8683413863182068}, {""round"": 15, ""accuracy"": 0.6531000137329102, ""loss"": 0.9437915086746216}, {""round"": 18, ""accuracy"": 0.8738999962806702, ""loss"": 0.39812082052230835}, {""round"": 21, ""accuracy"": 0.8600000143051147, ""loss"": 0.36623987555503845}, {""round"": 24, ""accuracy"": 0.9174000024795532, ""loss"": 0.25118568539619446}, {""round"": 27, ""accuracy"": 0.9132000207901001, ""loss"": 0.26636356115341187}, {""round"": 30, ""accuracy"": 0.8112999796867371, ""loss"": 0.598362922668457}]"
fedavg_alpha0.05_part0.8,fedavg,0.05,0.8,0.9394000172615051,12,0.9454618334770203,0.04458779487892305,0.8320741653442383,"[{""round"": 1, ""accuracy"": 0.3050999939441681, ""loss"": 2.202413320541382}, {""round"": 3, ""accuracy"": 0.5317999720573425, ""loss"": 1.4202020168304443}, {""round"": 6, ""accuracy"": 0.6780999898910522, ""loss"": 0.8771035075187683}, {""round"": 9, ""accuracy"": 0.7815999984741211, ""loss"": 0.6878336668014526}, {""round"": 12, ""accuracy"": 0.8547999858856201, ""loss"": 0.3799961805343628}, {""round"": 15, ""accuracy"": 0.8389999866485596, ""loss"": 0.43205615878105164}, {""round"": 18, ""accuracy"": 0.9355000257492065, ""loss"": 0.20065832138061523}, {""round"": 21, ""accuracy"": 0.9086999893188477, ""loss"": 0.2633565664291382}, {""round"": 24, ""accuracy"": 0.9420999884605408, ""loss"": 0.17120294272899628}, {""round"": 27, ""accuracy"": 0.9545999765396118, ""loss"": 0.14607420563697815}, {""round"": 30, ""accuracy"": 0.9394000172615051, ""loss"": 0.17743133008480072}]"
fedavg_alpha0.05_part1.0,fedavg,0.05,1.0,0.9679999947547913,12,0.9631185114383698,0.023926079559344376,0.9079498052597046,"[{""round"": 1, ""accuracy"": 0.3034000098705292, ""loss"": 2.05987811088562}, {""round"": 3, ""accuracy"": 0.2574999928474426, ""loss"": 3.0187063217163086}, {""round"": 6, ""accuracy"": 0.7577999830245972, ""loss"": 0.656790554523468}, {""round"": 9, ""accuracy"": 0.7822999954223633, ""loss"": 0.5894566774368286}, {""round"": 12, ""accuracy"": 0.9388999938964844, ""loss"": 0.21113933622837067}, {""round"": 15, ""accuracy"": 0.9409999847412109, ""loss"": 0.19078898429870605}, {""round"": 18, ""accuracy"": 0.9585000276565552, ""loss"": 0.14191515743732452}, {""round"": 21, ""accuracy"": 0.9575999975204468, ""loss"": 0.14003892242908478}, {""round"": 24, ""accuracy"": 0.9627000093460083, ""loss"": 0.12459306418895721}, {""round"": 27, ""accuracy"": 0.9652000069618225, ""loss"": 0.11408589035272598}, {""round"": 30, ""accuracy"": 0.9679999947547913, ""loss"": 0.10255944728851318}]"
fedavg_alpha0.1_part0.2,fedavg,0.1,0.2,0.11949999630451202,999,0.17829395724693314,0.28217481630064606,0.0014056224608793855,"[{""round"": 1, ""accuracy"": 0.1476999968290329, ""loss"": 2.305595636367798}, {""round"": 3, ""accuracy"": 0.18629999458789825, ""loss"": 2.3411362171173096}, {""round"": 6, ""accuracy"": 0.15620000660419464, ""loss"": 3.820523738861084}, {""round"": 9, ""accuracy"": 0.29440000653266907, ""loss"": 2.3706507682800293}, {""round"": 12, ""accuracy"": 0.2581000030040741, ""loss"": 3.8062686920166016}, {""round"": 15, ""accuracy"": 0.3447999954223633, ""loss"": 2.9674272537231445}, {""round"": 18, ""accuracy"": 0.5437999963760376, ""loss"": 1.2578035593032837}, {""round"": 21, ""accuracy"": 0.44530001282691956, ""loss"": 2.225529193878174}, {""round"": 24, ""accuracy"": 0.7447999715805054, ""loss"": 0.9514643549919128}, {""round"": 27, ""accuracy"": 0.7203999757766724, ""loss"": 1.3708935976028442}, {""round"": 30, ""accuracy"": 0.11949999630451202, ""loss"": 14.057926177978516}]"
fedavg_alpha0.1_part0.5,fedavg,0.1,0.5,0.9589999914169312,9,0.9492905557155609,0.03416071212807873,0.8823930621147156,"[{""round"": 1, ""accuracy"": 0.16689999401569366, ""loss"": 5.025749206542969}, {""round"": 3, ""accuracy"": 0.3287999927997589, ""loss"": 2.053532838821411}, {""round"": 6, ""accuracy"": 0.5544999837875366, ""loss"": 1.438184142112732}, {""round"": 9, ""accuracy"": 0.8241999745368958, ""loss"": 0.517102062702179}, {""round"": 12, ""accuracy"": 0.8363000154495239, ""loss"": 0.4545620083808899}, {""round"": 15, ""accuracy"": 0.760699987411499, ""loss"": 0.7870463132858276}, {""round"": 18, ""accuracy"": 0.791700005531311, ""loss"": 0.5962333083152771}, {""round"": 21, ""accuracy"": 0.9405999779701233, ""loss"": 0.188181072473526}, {""round"": 24, ""accuracy"": 0.9498000144958496, ""loss"": 0.1503160446882248}, {""round"": 27, ""accuracy"": 0.9168000221252441, ""loss"": 0.23815956711769104}, {""round"": 30, ""accuracy"": 0.9589999914169312, ""loss"": 0.13027851283550262}]"
fedavg_alpha0.1_part0.8,fedavg,0.1,0.8,0.9718000292778015,9,0.9624045312404632,0.02588082636127066,0.9035925269126892,"[{""round"": 1, ""accuracy"": 0.47279998660087585, ""loss"": 1.709959626197815}, {""round"": 3, ""accuracy"": 0.5554999709129333, ""loss"": 1.5134215354919434}, {""round"": 6, ""accuracy"": 0.7296000123023987, ""loss"": 1.0032589435577393}, {""round"": 9, ""accuracy"": 0.8867999911308289, ""loss"": 0.30639520287513733}, {""round"": 12, ""accuracy"": 0.875, ""loss"": 0.3755177855491638}, {""round"": 15, ""accuracy"": 0.9488999843597412, ""loss"": 0.15499065816402435}, {""round"": 18, ""accuracy"": 0.9524000287055969, ""loss"": 0.14580321311950684}, {""round"": 21, ""accuracy"": 0.9635999798774719, ""loss"": 0.11559643596410751}, {""round"": 24, ""accuracy"": 0.9650999903678894, ""loss"": 0.10516055673360825}, {""round"": 27, ""accuracy"": 0.9496999979019165, ""loss"": 0.15291166305541992}, {""round"": 30, ""accuracy"": 0.9718000292778015, ""loss"": 0.09208788722753525}]"
fedavg_alpha0.1_part1.0,fedavg,0.1,1.0,0.9733999967575073,9,0.9676635146141053,0.023302242179907295,0.9088221788406372,"[{""round"": 1, ""accuracy"": 0.5206999778747559, ""loss"": 1.5395698547363281}, {""round"": 3, ""accuracy"": 0.6572999954223633, ""loss"": 1.288283348083496}, {""round"": 6, ""accuracy"": 0.7434999942779541, ""loss"": 1.0703275203704834}, {""round"": 9, ""accuracy"": 0.8978999853134155, ""loss"": 0.29392874240875244}, {""round"": 12, ""accuracy"": 0.9165999889373779, ""loss"": 0.22449874877929688}, {""round"": 15, ""accuracy"": 0.9585000276565552, ""loss"": 0.13573937118053436}, {""round"": 18, ""accuracy"": 0.9564999938011169, ""loss"": 0.13200944662094116}, {""round"": 21, ""accuracy"": 0.9649999737739563, ""loss"": 0.11481825262308121}, {""round"": 24, ""accuracy"": 0.9659000039100647, ""loss"": 0.10495203733444214}, {""round"": 27, ""accuracy"": 0.9718000292778015, ""loss"": 0.08794945478439331}, {""round"": 30, ""accuracy"": 0.9733999967575073, ""loss"": 0.08283994346857071}]"
fedavg_alpha0.5_part0.2,fedavg,0.5,0.2,0.9559000134468079,9,0.9528557360172272,0.02593172261155959,0.9046767950057983,"[{""round"": 1, ""accuracy"": 0.23499999940395355, ""loss"": 2.5817928314208984}, {""round"": 3, ""accuracy"": 0.4772999882698059, ""loss"": 1.7463363409042358}, {""round"": 6, ""accuracy"": 0.7815999984741211, ""loss"": 0.6015488505363464}, {""round"": 9, ""accuracy"": 0.9068999886512756, ""loss"": 0.31513628363609314}, {""round"": 12, ""accuracy"": 0.8888999819755554, ""loss"": 0.32131579518318176}, {""round"": 15, ""accuracy"": 0.9307000041007996, ""loss"": 0.2175477296113968}, {""round"": 18, ""accuracy"": 0.8478000164031982, ""loss"": 0.4209752380847931}, {""round"": 21, ""accuracy"": 0.9294000267982483, ""loss"": 0.20997783541679382}, {""round"": 24, ""accuracy"": 0.9611999988555908, ""loss"": 0.11748024821281433}, {""round"": 27, ""accuracy"": 0.9678999781608582, ""loss"": 0.102227121591568}, {""round"": 30, ""accuracy"": 0.9559000134468079, ""loss"": 0.13679473102092743}]"
fedavg_alpha0.5_part0.5,fedavg,0.5,0.5,0.972100019454956,6,0.9711190938949585,0.010920233781272205,0.9410187602043152,"[{""round"": 1, ""accuracy"": 0.34869998693466187, ""loss"": 1.7486578226089478}, {""round"": 3, ""accuracy"": 0.7843999862670898, ""loss"": 0.612877607345581}, {""round"": 6, ""accuracy"": 0.8414000272750854, ""loss"": 0.43146196007728577}, {""round"": 9, ""accuracy"": 0.9408000111579895, ""loss"": 0.2014610469341278}, {""round"": 12, ""accuracy"": 0.9381999969482422, ""loss"": 0.19898326694965363}, {""round"": 15, ""accuracy"": 0.9502999782562256, ""loss"": 0.1637904942035675}, {""round"": 18, ""accuracy"": 0.9265999794006348, ""loss"": 0.21478813886642456}, {""round"": 21, ""accuracy"": 0.9614999890327454, ""loss"": 0.12625208497047424}, {""round"": 24, ""accuracy"": 0.9642000198364258, ""loss"": 0.10798443853855133}, {""round"": 27, ""accuracy"": 0.968999981880188, ""loss"": 0.09642311185598373}, {""round"": 30, ""accuracy"": 0.972100019454956, ""loss"": 0.08829143643379211}]"
